,pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
1415,HATS-36 b,HATS-36,2018,Transit,4.1752387,0.05425,13.843,1022.14128,52.3812,561.0,1356.0,G0 V,6149.0,-17.59239,15.35677,2793.3206350621685,-705.1537066291626,2567.6096682958228
1723,HD 110113 b,HD 110113,2021,Transit,2.541,0.035,2.05,4.55,10.6323,735.49,1371.0,G,5732.0,18.51297,300.80214,346.72706045933836,282.40646379532865,168.36233614040682
2397,HD 191939 b,HD 191939,2020,Transit,8.8803256,0.0804,3.41,10.0,8.4453,100.0,880.0,G9 V,5348.0,17.72195,99.98716,174.84884637379125,-164.02757065243998,-28.884586289345197
2400,HD 191939 c,HD 191939,2020,Transit,28.579743,0.1752,3.195,8.0,7.6961,21.0,600.0,G9 V,5348.0,17.72195,99.98716,174.84884637379125,-164.02757065243998,-28.884586289345197
2403,HD 191939 d,HD 191939,2020,Transit,38.353037,0.2132,2.995,2.8,3.0654,14.3,540.0,G9 V,5348.0,17.72195,99.98716,174.84884637379125,-164.02757065243998,-28.884586289345197
2497,HD 207496 b,HD 207496,2023,Transit,6.441008,0.0629,2.25,6.1,11.8329,72.9,743.0,K2.5 V,4819.0,-35.79483,313.77934,76.99247452381445,45.08941842290223,43.20799826911326
2512,HD 207897 b,HD 207897,2021,Transit,16.202159,0.1163,2.501,14.4,22.6079,26.5,632.0,K0 V,5070.0,23.23912,118.37663,92.28203319841994,-74.60610107430304,-40.30004992843712
2714,HD 23472 b,HD 23472,2019,Transit,17.667087,0.1162,2.0,8.32,20.4262,16.0,543.0,K4 V,4684.0,-44.84798,277.0269,127.31220663433133,89.58388922673625,11.04221411135213
2717,HD 23472 c,HD 23472,2019,Transit,29.79749,0.1646,1.87,3.41,9.5763,7.96,467.0,K4 V,4684.0,-44.84798,277.0269,127.31220663433133,89.58388922673625,11.04221411135213
2721,HD 23472 d,HD 23472,2022,Transit,3.97664,0.04298,0.75,0.55,9.6021,117.0,909.0,K4 V,4684.0,-44.84798,277.0269,127.31220663433133,89.58388922673625,11.04221411135213
2723,HD 23472 e,HD 23472,2022,Transit,7.90754,0.068,0.818,0.72,10.567,46.7,723.0,K4 V,4684.0,-44.84798,277.0269,127.31220663433133,89.58388922673625,11.04221411135213
2725,HD 23472 f,HD 23472,2022,Transit,12.1621839,0.0906,1.137,0.77,5.8492,26.3,630.0,K4 V,4684.0,-44.84798,277.0269,127.31220663433133,89.58388922673625,11.04221411135213
2756,HD 260655 b,HD 260655,2022,Transit,2.76953,0.02933,1.24,2.14,13.6677,42.2,709.0,M0 V,3803.0,4.86549,195.67069,32.63357637244876,8.782825272705256,-31.307365793721853
2757,HD 260655 c,HD 260655,2022,Transit,5.70588,0.04749,1.533,3.09,12.9122,16.1,557.0,M0 V,3803.0,4.86549,195.67069,32.63357637244876,8.782825272705256,-31.307365793721853
2877,HD 332231 b,HD 332231,2020,Transit,18.71204,0.1436,9.718,77.55052,8.0641,98.09,876.0,F8,6089.0,-2.65449,73.36636,263.0989344308768,-251.8189756668543,75.23151509745709
3077,HD 5278 b,HD 5278,2021,Transit,14.339156,0.1202,2.45,7.8,12.7611,132.0,943.0,F V,6203.0,-33.38439,302.97274,187.8158454826758,131.56582185935466,85.35087663480367
3212,HD 73583 b,HD 73583,2022,Transit,6.398042,0.0604,2.79,10.2,12.8682,43.3,714.0,K4 V,4511.0,16.64313,237.89791,102.95647912833351,83.56103107920643,-52.42198359966668
3213,HD 73583 c,HD 73583,2022,Transit,18.87974,0.1242,2.39,9.7,16.6763,10.2,498.0,K4 V,4511.0,16.64313,237.89791,102.95647912833351,83.56103107920643,-52.42198359966668
3385,HD 93963 A b,HD 93963 A,2022,Transit,1.0391353,0.02085,1.35,7.8,42.0293,2898.0,2042.0,G0 V,5987.0,63.07361,209.2072,268.56759841605344,59.34664005307328,-106.1569821845045
