discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,sy_dist,pl_name
Transit,2004,0.7365474,,1.947,8.59,,,,,12.5855,CoRoT-36 b
Transit,2004,0.736546,0.01583,2.173,8.37,,,,5250,12.5855,CoRoT-4 b
Transit,2004,0.7365515,0.015691,,8.13928,,,,,12.5855,CoRoT-5 b
Transit,2004,0.73654,0.01583,2,8.63,,,G8 V,,12.5855,CoRoT-6 b
Transit,2004,,,,,,,,5250,12.5855,CoRoT-7 b
Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,,,,5172,12.5855,CoRoT-7 c
Radial Velocity,2004,0.7365445,0.01583,,9.37594,,,,5317.89,12.5855,CoRoT-7 d
Transit,2007,262,0.788,,44.812,,,,,12.5855,CoRoT-8 b
Transit,2007,260.91,0.7733,,47.0051,,,,5250,12.5855,CoRoT-9 b
Transit,2007,260.7,0.775,,44.812,,,,5250,12.5855,CoRoTID 223977153 b
Eclipse Timing Variations,2007,259.88,0.7708,,47.8,,,,5172,12.5855,DE CVn b
Astrometry,2007,260,0.781,,45.766,,,,5250,12.5855,DENIS-P J082303.1-491201 b
Imaging,2007,260.98,0.792,,46.87969,,,,5317.89,12.5855,DH Tau b
Radial Velocity,2007,261.2,0.77,,54.664,,,,5250,12.5855,DMPP-1 b
Radial Velocity,2008,899,2.2,,762.8,,,K0 IV,4978,54.6599,DMPP-1 c
Radial Velocity,2008,874.774,2.18,,702.4043,,,,,54.6599,DMPP-1 d
Radial Velocity,2008,919.86,2.028,,597.83523,,,K0 IV,4941,54.6599,DMPP-1 e
Radial Velocity,2008,934.3,2.11,,638.8383,,,,4938,54.6599,DMPP-2 b
Radial Velocity,2009,4.21487,0.04956,,5.11704,,,,5585.57,8.50332,DMPP-3 A b
Radial Velocity,2009,4.215,0.050201,,5.1,,,G5 V,5577,8.50332,DMPP-4 b
Eclipse Timing Variations,2009,38.0957,0.2151,,16.1139,,,,5585.57,8.50332,DP Leo b
Transit,2009,38.021,0.2175,,18.2,,,G5 V,5577,8.50332,DS Tuc A b
Transit,2009,123.01,0.476,,22.9,,,G5 V,5577,8.50332,EPIC 201170410.02
Transit,2011,796,1.93,,781.8618,,,,4794.52,19.8101,EPIC 201238110 b
Transit,2011,763,1.9,,826.3,,,K1 III,4792,19.8101,EPIC 201427007 b
Transit,2011,735.1,1.758,,587.9855,,,,4826,19.8101,EPIC 201497682 b
Transit,2019,996,2.153,,276.5121,,,,4826,19.8101,EPIC 201595106 b
Transit,1996,116.689,0.456,,2084.88,,,,,17.9011,EPIC 201615463 c
Transit,1996,116.6884,0.48,,2421.8646,,,,5531,17.9011,EPIC 201754305 d
Transit,1996,116.69335,0.4765,,2297.89938,,,,5481.86,17.9011,EPIC 201757695.02
Transit,1996,116.688,0.481,,2357.02728,,,,5495,17.9011,EPIC 201833600 c
Transit,1996,116.6884,0.484,,2380.45,,,,5545,17.9011,EPIC 201841433 b
Transit,1996,116.6926,0.481,,2351.942,,,,5439,17.9011,EPIC 205950854 c
Transit,2012,691.9,2.1,,953.49,,,G3 III,4846,82.9613,EPIC 206024342 b
Transit,2012,696.62,1.912,,787.89662,,,G3 III,4809,82.9613,EPIC 206024342 c
Transit,2023,2051.62,3.929,,289.85951,,,G3 III,4809,82.9613,EPIC 206024342 d
Transit,2015,93.4,0.49,,416.3573,,,,4847,162.552,EPIC 206032309 b
Transit,2015,93.4,0.49,,476.745,,,K0,4847.4,162.552,EPIC 206042996 b
Transit,2008,952.7,2.5,,1684.4,,,G5 III,4785,101.26,EPIC 206042996 c
Transit,2008,,2.17,,1274.4,,,,,101.26,EPIC 206215704 b
Transit,2008,1005.57,2.104,,1051.05854,,,G5 III,4734,101.26,EPIC 206317286 b
Transit,2013,181.4,0.7,,1017,,,K0 III,4665,44.0304,EPIC 206317286 c
Transit,2022,,93.9,,2860.45566,,,,9770,162.127,EPIC 211822797 b
Transit,2005,,260,,4290.5,,,K2 V,,50.0475,EPIC 211945201 b
Transit,2023,7520,7.99,,1664.46737,,1400,F8 V,6100,26.8564,EPIC 212297394 b
Transit,2023,8030,8.4,,1017.0509,,,F8 V,6130,26.8564,EPIC 212297394 c
Transit,2023,9060,9.3,,1366.66215,,,F8 V,6140,26.8564,EPIC 212424622 b
Transit,2020,8.4629991,0.0645,,20.12,,,,,9.7221,EPIC 212499991 b
Transit,2020,8.46321,,,17.1,,,M1,3700,9.7221,EPIC 212587672 b
Transit,2020,8.46321,0.066,4.203,57.2094,,,,3700,9.7221,EPIC 212587672 c
Transit,2020,8.463,,,11.7,,,,3700,9.7221,EPIC 212624936 b
Transit,2020,8.463,0.0645,4.07,17,,593,,3700,9.7221,EPIC 212624936 c
Transit,2020,8.46321,,,,,,,,9.7221,EPIC 212737443 b
Transit,2020,,,4.027,,76.64,755,,3588,9.7221,EPIC 212737443 c
Transit,2020,8.4630004,0.0644,4.19,,,,,,9.7221,EPIC 220492298 b
Transit,2021,18.859019,,,22.2,,,,3700,9.7221,EPIC 220554210 c
