pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
K2-140 b,K2-140,2017,Transit,6.569188,0.068,13.563,295.58042,1.606808566,15.7793,204,962,G6 V,5585,52.97976,295.18424,1134.753485,618.2866016,290.7358905
K2-140 b,K2-140,2017,Transit,6.5693,0.0591,12.274,323.86877,2.149793938,21.1116,188.5,1114,G5,5654,52.97976,295.18424,1134.753485,618.2866016,290.7358905
K2-180 b,K2-180,2018,Transit,8.8665,0.075,2.242,11.44182,2.276270629,22.3537,67,729,K2 V,5110,25.58211,214.28896,665.0198079,337.9221957,-495.5805098
K2-216 b,K2-216,2018,Transit,2.1748,0.028,1.75,8,2.612244898,25.653,248,1103,K5 V,4503,-56.49811,120.44792,376.5834153,-179.1946372,-105.3344274
K2-24 b,K2-24,2016,Transit,20.8851,0.154,5.68,21,0.650912517,6.3922,60,767,G3,5743,19.20525,349.99931,556.298841,91.23034084,517.3565404
K2-24 c,K2-24,2016,Transit,42.3633,0.247,7.82,27,0.441519875,4.3359,24,606,G3,5743,19.20525,349.99931,556.298841,91.23034084,517.3565404
K2-25 b,K2-25,2015,Transit,3.48456408,0.0287,3.44,24.5,2.070375879,20.3317,9.91,494,M4.5 V,3207,-25.29268,178.25572,146.6284919,-4.035330968,-132.5108361
K2-285 b,K2-285,2018,Transit,3.471745,0.03817,2.59,9.68,1.443031559,14.171,234.31,1089,K2 V,4975,-53.68469,80.67491,505.4151845,-295.3657073,48.50080903
K2-285 c,K2-285,2018,Transit,7.138048,0.0824,3.53,15.68,1.258336075,12.3572,50.35,741,K2 V,4975,-53.68469,80.67491,505.4151845,-295.3657073,48.50080903
K2-285 d,K2-285,2018,Transit,10.45582,0.1178,2.48,6.5,1.056841831,10.3785,24.61,620,K2 V,4975,-53.68469,80.67491,505.4151845,-295.3657073,48.50080903
K2-285 e,K2-285,2018,Transit,14.76289,0.18041,1.95,10.7,2.813938199,27.6337,10.5,501,K2 V,4975,-53.68469,80.67491,505.4151845,-295.3657073,48.50080903
K2-292 b,K2-292,2019,Transit,16.9841,0.13,2.63,24.5,3.542049184,34.784,67,795,G3 V,5725,50.98859,322.75465,372.7739088,142.0182303,186.7949158
K2-3 b,K2-3,2015,Transit,10.0546535,0.0747,2.078,5.11,1.183395228,11.6213,10.5,501,M V,3844,55.25008,264.98752,143.7459219,81.62120213,-7.158844806
K2-3 c,K2-3,2015,Transit,24.646729,0.1357,1.582,2.68,1.07083322,10.5159,3.17,372,M V,3844,55.25008,264.98752,143.7459219,81.62120213,-7.158844806
K2-3 d,K2-3,2015,Transit,44.55603,0.2014,1.458,2.2,1.034922033,10.1632,1.44,305,M V,3844,55.25008,264.98752,143.7459219,81.62120213,-7.158844806
K2-38 b,K2-38,2016,Transit,4.01593,0.0506,1.55,12,4.994797086,49.0504,465.9,1184,G2 V,5757,22.1208,349.62852,628.4707242,104.8150382,572.6976312
K2-38 b,K2-38,2016,Transit,4.01593,0.04994,1.54,7.3,3.07809074,30.2278,426,1266,G2 V,5731,22.1208,349.62852,628.4707242,104.8150382,572.6976312
K2-38 c,K2-38,2016,Transit,10.56103,0.0964,2.42,9.9,1.690458302,16.6008,128.3,858,G2 V,5757,22.1208,349.62852,628.4707242,104.8150382,572.6976312
K2-38 c,K2-38,2016,Transit,10.56103,0.09514,2.29,8.3,1.582731069,15.5429,117,916,G2 V,5731,22.1208,349.62852,628.4707242,104.8150382,572.6976312
K2-415 b,K2-415,2023,Transit,4.0179694,0.027,1.015,7.5,7.279963115,71.4914,4.82,412,M5 V,3173,35.80871,217.79828,71.1614508,35.36958873,-45.60102563
KELT-10 b,KELT-10,2016,Transit,4.1662739,0.0525,15.681,215.80657,0.877641503,8.6187,600,1377,G0 V,5948,-20.57244,349.65854,614.4916619,103.2753192,565.9591131
KELT-18 b,KELT-18,2017,Transit,2.8717518,0.0455,17.598,375.0394,1.21101708,11.8926,3152,2085,F4 V,6670,53.81036,102.71473,1048.18832,-603.7360203,-136.2208933
KELT-19 A b,KELT-19 A,2017,Transit,4.6117093,0.0637,21.409,1293.5681,2.82225683,27.7154,2340,1935,A8 V,7500,11.13398,210.01238,979.3693248,480.6477739,-832.0911028
KELT-20 b,KELT-20,2017,Transit,3.4741085,0.0542,19.515,1074.90106,2.822483293,27.7176,4362.5,2262,A2 V,8720,4.62728,65.80767,444.9620999,-404.5603521,181.7515396
KELT-21 b,KELT-21,2018,Transit,3.6127647,0.05224,17.777,1242.7153,3.932372954,38.6171,2950,2051,A8 V,7598,-1.9865,71.48138,1535.798628,-1455.400535,487.4961922
KELT-23 A b,KELT-23 A,2019,Transit,2.255251,0.03302,14.83,298.12454,1.355549634,13.3119,991.18,1561,G2 V,5899,43.94313,102.28211,411.8083041,-289.7273003,-63.07600892
KELT-4 A b,KELT-4 A,2016,Transit,2.9895932,0.04317,19.044,286.68266,0.790469431,7.7626,1840,1823,F,6206,57.99257,207.45808,711.1839816,173.8106785,-334.4844826
KELT-9 b,KELT-9,2017,Transit,1.4811235,0.03462,21.196,915.3504,2.037415257,20.008,44900,4050,B9.5-A0,10170,0.24852,78.91292,666.8430221,-654.3909428,128.2331627
KPS-1 b,KPS-1,2018,Transit,1.706291,0.0269,11.545,346.4347,2.599162972,25.5246,729,1459,K1 V,5165,48.29956,140.12745,856.8323736,-365.4140665,-437.4560447
Kepler-1654 b,Kepler-1654,2018,Transit,1047.8356,2.026,9.18,158.915,1.885730085,18.5184,0.3,206,G5 V,5597,19.06885,73.86663,1852.949828,-1682.302784,486.6333547
